numero_ocorrencia_associado;ano_fato;mes_numerico_fato;boa;buracos;material_na_pista;ondulada;outras_no_historico;rachadura;sulcos_horizontais;verificacao
996534350c799c83;2023;3;Sim;Não;Não;Não;Não;Não;Não;996534350c799c83-Sim-Não-Não-Não-Não-Não-Não
06e8b2f9cbb66556;2023;3;Sim;Não;Não;Não;Não;Não;Não;06e8b2f9cbb66556-Sim-Não-Não-Não-Não-Não-Não
743f4784ebda20b6;2023;3;Não;Sim;Não;Não;Não;Sim;Sim;743f4784ebda20b6-Não-Sim-Não-Não-Não-Sim-Sim
17c541965b84292d;2023;8;Sim;Não;Não;Não;Não;Não;Não;17c541965b84292d-Sim-Não-Não-Não-Não-Não-Não
8087e0f3b56427ec;2023;8;Sim;Não;Não;Não;Não;Não;Não;8087e0f3b56427ec-Sim-Não-Não-Não-Não-Não-Não
65eb76a74ca342df;2023;3;Sim;Não;Não;Não;Não;Não;Não;65eb76a74ca342df-Sim-Não-Não-Não-Não-Não-Não
5d902119e8134b08;2023;5;Sim;Não;Não;Não;Não;Não;Não;5d902119e8134b08-Sim-Não-Não-Não-Não-Não-Não
4cc9c74cc56e5d1f;2023;5;Sim;Não;Não;Não;Não;Não;Não;4cc9c74cc56e5d1f-Sim-Não-Não-Não-Não-Não-Não
4a034e91ec39959f;2023;5;Sim;Não;Não;Não;Não;Não;Não;4a034e91ec39959f-Sim-Não-Não-Não-Não-Não-Não
80346dbc6719bbf2;2023;5;Não;Não;Não;Não;Sim;Não;Não;80346dbc6719bbf2-Não-Não-Não-Não-Sim-Não-Não
68567b9f3ba7e1c3;2023;10;Sim;Não;Não;Não;Não;Não;Não;68567b9f3ba7e1c3-Sim-Não-Não-Não-Não-Não-Não
3b5a4e09d2d6bf1e;2023;10;Sim;Não;Não;Não;Não;Não;Não;3b5a4e09d2d6bf1e-Sim-Não-Não-Não-Não-Não-Não
9d82f0f99fd32dea;2023;10;Sim;Não;Não;Não;Não;Não;Não;9d82f0f99fd32dea-Sim-Não-Não-Não-Não-Não-Não
cd03cf7205e2965e;2023;10;Sim;Não;Não;Não;Não;Não;Não;cd03cf7205e2965e-Sim-Não-Não-Não-Não-Não-Não
0fd6f947f17c1b93;2023;5;Sim;Não;Não;Não;Não;Não;Não;0fd6f947f17c1b93-Sim-Não-Não-Não-Não-Não-Não
fcae7186b4ed2c46;2023;5;Sim;Não;Não;Não;Não;Não;Não;fcae7186b4ed2c46-Sim-Não-Não-Não-Não-Não-Não
ec981454a097f85b;2023;3;Não;Sim;Não;Não;Não;Não;Não;ec981454a097f85b-Não-Sim-Não-Não-Não-Não-Não
308090bf44cc22bc;2023;3;Sim;Não;Não;Não;Não;Não;Não;308090bf44cc22bc-Sim-Não-Não-Não-Não-Não-Não
9d3096db27981816;2023;3;Sim;Não;Não;Não;Não;Não;Não;9d3096db27981816-Sim-Não-Não-Não-Não-Não-Não
a714a90e3f6ffab4;2023;7;Sim;Não;Não;Não;Não;Não;Não;a714a90e3f6ffab4-Sim-Não-Não-Não-Não-Não-Não
706d727291b6a0c0;2023;7;Sim;Não;Não;Não;Não;Não;Não;706d727291b6a0c0-Sim-Não-Não-Não-Não-Não-Não
c040870028938010;2023;5;Sim;Não;Não;Não;Não;Não;Não;c040870028938010-Sim-Não-Não-Não-Não-Não-Não
71f3c5172c1bf9f6;2023;5;Sim;Não;Não;Não;Não;Não;Não;71f3c5172c1bf9f6-Sim-Não-Não-Não-Não-Não-Não
4b086cfca8224d21;2023;5;Sim;Não;Não;Não;Não;Não;Não;4b086cfca8224d21-Sim-Não-Não-Não-Não-Não-Não
3c22045077be823a;2023;5;Sim;Não;Não;Não;Não;Não;Não;3c22045077be823a-Sim-Não-Não-Não-Não-Não-Não
9fe7754d740e697f;2023;5;Sim;Não;Não;Não;Não;Não;Não;9fe7754d740e697f-Sim-Não-Não-Não-Não-Não-Não
e3b1e5adc56b2cea;2023;4;Sim;Não;Não;Não;Não;Não;Não;e3b1e5adc56b2cea-Sim-Não-Não-Não-Não-Não-Não
64c49cec35ddc8e0;2023;4;Sim;Não;Não;Não;Não;Não;Não;64c49cec35ddc8e0-Sim-Não-Não-Não-Não-Não-Não
4708bec34a273e1b;2023;4;Não;Não;Não;Não;Sim;Não;Não;4708bec34a273e1b-Não-Não-Não-Não-Sim-Não-Não
75557fbda13cb946;2023;4;Sim;Não;Não;Não;Não;Não;Não;75557fbda13cb946-Sim-Não-Não-Não-Não-Não-Não
5d394342cd33e6e4;2023;10;Sim;Não;Não;Não;Não;Não;Não;5d394342cd33e6e4-Sim-Não-Não-Não-Não-Não-Não
5d712d05fddc8d5b;2023;11;Sim;Não;Não;Não;Não;Não;Não;5d712d05fddc8d5b-Sim-Não-Não-Não-Não-Não-Não
4d43a0d2564b1307;2023;11;Sim;Não;Não;Não;Não;Não;Não;4d43a0d2564b1307-Sim-Não-Não-Não-Não-Não-Não
7f9b5c3e4d805fb4;2023;12;Sim;Não;Não;Não;Não;Não;Não;7f9b5c3e4d805fb4-Sim-Não-Não-Não-Não-Não-Não
acd1441c5dc031d3;2023;11;Sim;Não;Não;Não;Não;Não;Não;acd1441c5dc031d3-Sim-Não-Não-Não-Não-Não-Não
061fc5ac05d00520;2023;4;Sim;Não;Não;Não;Não;Não;Não;061fc5ac05d00520-Sim-Não-Não-Não-Não-Não-Não
ec44631edb591f40;2023;4;Sim;Não;Não;Não;Não;Não;Não;ec44631edb591f40-Sim-Não-Não-Não-Não-Não-Não
d7b4790c117f77e0;2023;4;Não;Não;Não;Não;Sim;Não;Não;d7b4790c117f77e0-Não-Não-Não-Não-Sim-Não-Não
d742047acfa111c9;2023;2;Sim;Não;Não;Não;Não;Não;Não;d742047acfa111c9-Sim-Não-Não-Não-Não-Não-Não
0d0cbcfb8e1d0d19;2023;4;Sim;Não;Não;Não;Não;Não;Não;0d0cbcfb8e1d0d19-Sim-Não-Não-Não-Não-Não-Não
b68ad149df9ca2e3;2023;6;Sim;Não;Não;Não;Não;Não;Não;b68ad149df9ca2e3-Sim-Não-Não-Não-Não-Não-Não
7fc289bb692db1f6;2023;6;Sim;Não;Não;Não;Não;Não;Não;7fc289bb692db1f6-Sim-Não-Não-Não-Não-Não-Não
b9558fe663fffe9f;2023;11;Sim;Não;Não;Não;Não;Não;Não;b9558fe663fffe9f-Sim-Não-Não-Não-Não-Não-Não
81f3d3a08b7b513d;2023;11;Não;Não;Não;Sim;Não;Não;Não;81f3d3a08b7b513d-Não-Não-Não-Sim-Não-Não-Não
aafadf9950bf62f5;2023;11;Não;Não;Não;Não;Sim;Não;Não;aafadf9950bf62f5-Não-Não-Não-Não-Sim-Não-Não
ec73a5f5dd888eb6;2023;2;Sim;Não;Não;Não;Não;Não;Não;ec73a5f5dd888eb6-Sim-Não-Não-Não-Não-Não-Não
5b963e36220399ce;2023;6;Sim;Não;Não;Não;Não;Não;Não;5b963e36220399ce-Sim-Não-Não-Não-Não-Não-Não
be1b99d750005e20;2023;6;Sim;Não;Não;Não;Não;Não;Não;be1b99d750005e20-Sim-Não-Não-Não-Não-Não-Não
4026b573ae3c1c2c;2023;6;Sim;Não;Não;Não;Não;Não;Não;4026b573ae3c1c2c-Sim-Não-Não-Não-Não-Não-Não
6d9c56fc83e10f32;2023;6;Não;Não;Não;Sim;Não;Não;Não;6d9c56fc83e10f32-Não-Não-Não-Sim-Não-Não-Não
4acd2079e531581d;2023;6;Sim;Não;Não;Não;Não;Não;Não;4acd2079e531581d-Sim-Não-Não-Não-Não-Não-Não
8702e2c1aeca36f2;2023;6;Sim;Não;Não;Não;Não;Não;Não;8702e2c1aeca36f2-Sim-Não-Não-Não-Não-Não-Não
a7dfc642b85c03c9;2023;5;Sim;Não;Não;Não;Não;Não;Não;a7dfc642b85c03c9-Sim-Não-Não-Não-Não-Não-Não
6a5c4a86cb5e909e;2023;7;Sim;Não;Não;Não;Não;Não;Não;6a5c4a86cb5e909e-Sim-Não-Não-Não-Não-Não-Não
1f10dd58671c9e88;2023;7;Não;Não;Não;Não;Sim;Não;Não;1f10dd58671c9e88-Não-Não-Não-Não-Sim-Não-Não
f19067b5696d6955;2023;7;Sim;Não;Não;Não;Não;Não;Não;f19067b5696d6955-Sim-Não-Não-Não-Não-Não-Não
46ecf83410e42ecb;2023;10;Sim;Não;Não;Não;Não;Não;Não;46ecf83410e42ecb-Sim-Não-Não-Não-Não-Não-Não
0d440563fea67756;2023;10;Sim;Não;Não;Não;Não;Não;Não;0d440563fea67756-Sim-Não-Não-Não-Não-Não-Não
e3a730a08354b5c0;2023;12;Sim;Não;Não;Não;Não;Não;Não;e3a730a08354b5c0-Sim-Não-Não-Não-Não-Não-Não
befc3e6f8250b150;2023;7;Sim;Não;Não;Não;Não;Não;Não;befc3e6f8250b150-Sim-Não-Não-Não-Não-Não-Não
